object_id,object_type,candidate_source,candidate_name,candidate_name_normalized,candidate_confidence,current_name,lat,lon
vn-toll-clean-095,toll_station,colleague_name,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),tram thu phi cao toc ben luc long thanh quoc lo 51,0.75,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.6755667,107.0197492
vn-toll-clean-095,toll_station,colleague_google_name,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),tram thu phi cao toc ben luc long thanh quoc lo 51,0.85,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.6755667,107.0197492
vn-toll-clean-095,toll_station,google_name,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),tram thu phi cao toc ben luc long thanh quoc lo 51,0.80,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.6755667,107.0197492
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,current_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,tram thu phi cao toc ha noi hai phong duong kinh,0.90,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,osm_name,OSM toll 8544582973,osm toll 8544582973,0.65,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,road,Cao Tốc Hà Nội - Hải Phòng Qpc7,cao toc ha noi hai phong qpc7,0.35,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,reviewed_osm_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,tram thu phi cao toc ha noi hai phong duong kinh,0.95,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,review_google_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng,tram thu phi cao toc ha noi hai phong,0.85,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,colleague_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng,tram thu phi cao toc ha noi hai phong,0.75,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,colleague_google_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng,tram thu phi cao toc ha noi hai phong,0.85,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,google_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,tram thu phi cao toc ha noi hai phong duong kinh,0.9,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,20.770163,106.712798
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,current_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,tram thu phi cao toc ha noi hai phong van giang,0.90,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,osm_name,OSM toll 1324667567,osm toll 1324667567,0.65,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,road,Cao Tốc Hà Nội - Hải Phòng Wxjc,cao toc ha noi hai phong wxjc,0.35,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,reviewed_osm_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,tram thu phi cao toc ha noi hai phong van giang,0.95,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,review_google_name,Trạm Thu phí Cao tốc Hà Nội - Hải Phòng,tram thu phi cao toc ha noi hai phong,0.85,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,google_name,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,tram thu phi cao toc ha noi hai phong van giang,0.9,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,20.931708,105.971447
vn-toll-gmaps-chijl6j3blwfszer0pcyadvep-u,toll_station,current_name,Trạm thu phí cao tốc Hạ Long - Vân Đồn,tram thu phi cao toc ha long van don,0.90,Trạm thu phí cao tốc Hạ Long - Vân Đồn,21.082426,107.392871
