object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-gmaps-chijt8y1wp3kqderg-llifzxxxm,toll_station,Trạm thu phí Đông Hà,Trạm thu phí Đông Hà,keep,,Quảng Trị,QL1A,16.785018,107.149829
vn-toll-gmaps-chijdad8b7lxnterbktsdn3mjei,toll_station,Trạm thu phí Đông Hưng,Trạm thu phí Đông Hưng,keep,,Hưng Yên,,20.55882,106.368051
vn-toll-gmaps-chijw-epzqd3njeribu-dwg-pdu,toll_station,Trạm thu phí Đông Xuân,Trạm thu phí Đông Xuân,keep,osm_placeholder_name;source_name_conflict,Thanh Hóa,,19.827931,105.69233
vn-toll-gmaps-chijosjouw5nnderljgn046zgi4,toll_station,Trạm thu phí đường Hòa Lạc - Hòa Bình,Trạm thu phí đường Hòa Lạc - Hòa Bình,keep,osm_road_name_as_object_name;missing_road_context,Hòa Bình,,20.965148,105.397958
vn-toll-clean-091,toll_station,Trạm thu phí Đầm Hà,Trạm thu phí Đầm Hà,keep,,Quảng Ninh,,21.3492254,107.5528941
vn-toll-gmaps-chijg3byqa61czersgevsyvu4he,toll_station,Trạm thu phí Đắk Song,Trạm thu phí Đắk Song,keep,multiple_name_variants,Lâm Đồng,QL14,12.188389,107.637639
vn-toll-gmaps-chij-wvfyuvcter5tonghianj4,toll_station,Trạm thu phí Định An,Trạm thu phí Định An,keep,osm_road_name_as_object_name;multiple_name_variants;source_name_conflict,Lâm Đồng,CT27,11.859578,108.457887
vn-toll-gmaps-chijockr2iv5sjerf0tgjwtc6zq,toll_station,Trạm thu phí Đồng Lá,Trạm thu phí Đồng Lá,keep,,Quảng Ninh,,21.048429,107.164898
vn-toll-gmaps-chijeeiioh71sjerasyk4vltfby,toll_station,Trạm thu phí Đồng Đăng,Trạm thu phí Đồng Đăng,keep,,Quảng Ninh,,20.992671,106.987163
vn-toll-gmaps-chijashlt8jrcjerhd6eaivj-z4,toll_station,Trạm thu phí Đức Hoà,Trạm thu phí Đức Hoà,keep,,Tây Ninh,ĐT830,10.77753,106.439493
vn-toll-results-a8c1640ca55f27,toll_station,Cầu treo thu phí,Cầu treo thu phí,keep,missing_province_context,,,21.378121,105.913552
vn-toll-results-8912940a55179a,toll_station,Trạm Thu phí Bến Lức,Trạm Thu phí Bến Lức,keep,missing_province_context,,,10.666701,106.457972
vn-toll-results-af81bbbd5539fa,toll_station,Trạm thu phí BOT Đường ven biển Thái Bình,Trạm thu phí BOT Đường ven biển Thái Bình,keep,missing_province_context,,,20.301291,106.562304
vn-toll-results-739d8616d1be53,toll_station,Trạm thu phí Bình Chánh,Trạm thu phí Bình Chánh,keep,missing_province_context,,,10.66154,106.560297
