object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-gmaps-chij5uixooyznter1uou4imhe6q,toll_station,Trạm thu phí Pháp Vân,Trạm thu phí Pháp Vân,keep,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Hà Nội,,20.907514,105.86138
vn-toll-gmaps-chij60njjc-tnderf1gktlbp6bm,toll_station,Trạm thu phí Phù Ninh (IC8),Trạm thu phí Phù Ninh (IC8),keep,osm_placeholder_name;source_name_conflict,Phú Thọ,,21.390527,105.330033
vn-toll-gmaps-chij-va6zqtergngvvjpq-fo,toll_station,Trạm thu phí Phú Bài,Trạm thu phí Phú Bài,keep,,Huế,,16.370271,107.724977
vn-toll-gmaps-chijg8s9mawqnderqdir-t0q-ia,toll_station,Trạm thu phí Phú Thọ (IC9),Trạm thu phí Phú Thọ (IC9),keep,osm_placeholder_name;source_name_conflict,Phú Thọ,,21.423543,105.230986
vn-toll-gmaps-chij-b1-qmp3nter5hrm1tmd6de,toll_station,Trạm thu phí Phả Lại,Trạm thu phí Phả Lại,keep,osm_placeholder_name;source_name_conflict,Bắc Ninh,,21.116648,106.276521
vn-toll-clean-086,toll_station,Trạm thu phí Quốc lộ 5B,Trạm thu phí Quốc lộ 5B,keep,,Hưng Yên,QL5B,20.8552617,106.120794
vn-toll-gmaps-chijvvxfgzltrzer3n0b0trghq8,toll_station,Trạm thu phí Quán Hàu,Trạm thu phí Quán Hàu,keep,,Quảng Trị,,17.39189,106.646929
vn-toll-gmaps-chijcyh3uzmtater2xoyt6row9e,toll_station,Trạm thu phí Quảng Ngãi,Trạm thu phí Quảng Ngãi,keep,,Quảng Ngãi,,15.109507,108.757688
vn-toll-clean-087,toll_station,Trạm thu phí Quốc lộ 17B,Trạm thu phí Quốc lộ 17B,keep,,Hải Phòng,Quốc lộ 17B,20.9647965,106.5191627
vn-toll-gmaps-chijmzdscgvgsjer8vf1a48ywny,toll_station,Trạm thu phí quốc lộ 18 - Đại Yên,Trạm thu phí quốc lộ 18 - Đại Yên,keep,multiple_name_variants,Quảng Ninh,QL18,20.986069,106.90282
vn-toll-clean-022,toll_station,Trạm thu phí Quốc lộ 279,Trạm thu phí Quốc lộ 279,keep,multiple_name_variants,Lạng Sơn,Quốc lộ 279,21.6205522,106.5586596
